text,aspect,label
"journals, gtd, cookbooks, whatever.","GTD,",2
the product is really good but the app needs optimisation.,app,0
"so, when i click the ""reading notes"" on the table of reading list, id like it direct me directly to the page of the reading note",table,1
cuando agregaran el idioma espanol ?,cuando,2
time maintenance and hard working of your team,Time maintenance,2
I have used notion on my desktop so i wanted to try it out on my iphone however the app already does not open on my first time downloading it.,app,0
this app sucks,app,2
"best productivity tools
 1.",Productivity,2
"Very practical for organizing tasks and connecting the team, as well as stimulating productivity on a large scale.",connecting,2
varying product ranges,product ranges,2
send the insulated bag for milk,milk,0
"good afternoon team, just want to cancel this subscription please as we are getting billing coming into our accounts but have no idea which email is linked to it.",subscription,1
delivery process is full of surprises,Delivery process,0
did a little timelapse-video of me organising my @notionhq and outlining my novel.,organising,1
"when i try to copy the link to a page, it gives me an option to share it to other apps",apps,0
Super useful relational database.,database,2
so i do not need my old account anymore and it is unfair to pay for it,pay,0
supr daily bag was not provided as assured at the time of joining.,Supr daily bag,0
"no its per scene, as the music plays in the first scene, and for scenes 2 and 3, the video plays, as the background music volume is set it 0 now",scene,1
each and every time need to wait for milk until 9 morning.,milk,0
i just found this app accidentally and it is so easy to use to make any mind mapping by just using the bullet points and it will generate!,app,2
do not put raw fruits like gava chiku mosambi for delivery .becoz,Mosambi,0
this app deserve more download,app,2
"i can not get the previews to load whether its with istock videos from yur library, or my own",previews,0
i am delighted to your apt reply from support team via email within minutes @notionhq .,support,2
"@notionhq can you expand the header cells to support h4, h5, h6 please.",support,1
"I have just started working with this software on my pc, decided to download the app","PC,",2
"then click on your profile icon on the top right, and go to the ""my projects page"" 3.",project,0
the notion website application is awesome but i find the app to be not so easy to use.,notion website application,2
if you want to make the most out of this app browse templates online that suit your work flow best.,app,2
startup seems to be getting slower and slower.,Startup,0
i want to edit 2 videos on one screen,edit,1
"The new update took away the ability to swipe on tasks to delete/complete/reschedule.
",tasks,0
no proper delivery since a week.,delivery,0
"hi there, could i sync or easy to move evernote files(10yrs) to notion?",Evernote,1
free delivery became now paid and then service fee for other milk products is not acceptable and should immediately revoke,delivery,0
Great app for creating tasks and tracking them.,tracking,1
i have reinstall my app but it performed same fa zi,reinstall,1
but it does not even start.,even,2
where is my insulated bag that you promised,insulated bag,0
i can not rearrange properties in a table on windows desktop.,desktop.,0
Iphone 7 does not work - next to the first screen does not go,Iphone,0
i have always been an evernote user but decided to try notion out after seeing some people praising it on twitter.,Notion,0
I have set up templates that populate each day when i c.,templates,1
"one incidence, no supply , no communication for five days.",communication,0
"for subscriptions, ensure delivery happens daily its *not* ok even to miss a single day now that you even charge extra for each delivery.",delivery,0
the new update much improves experience but more needs to be done to make the app more usable and much stronger competitor to other productivity apps.,productivity apps.,0
Learn about this site from product management class，Accidentally found that there are apps，Although this lesson is not how to understand，But at least website and app still help me a lot.,website,1
absolutely phenomenal this is app is.i freaking love this app so much.i might join this company one day.,app,0
please provide free delivery for all the products.,free delivery,0
features access to 3500+ curated templates full access to image library full access to standard video library 120 istock images and videos free access to creator club's (premium) templates,free,1
so i will need to swap to monthly or can i upgrade to annual after i pay ?,pay,2
Easy to use app for cataloguing items.,cataloguing items,2
"i just uploaded an image in the ""logo"" section.",logo,1
no offers for regular subscribers,offers for regular subscribers,0
notion is amazing on desktop but near unusable on app.,app.,2
Productivity app doesn't have the ability to send push notifications on time...,push notifications,0
i do historical research which leads me to use characters from various languages for page titles.,search,1
can you please help me and give me access to more istock clips?,access,1
"also, widgets!",WIDGETS!,0
"we started with chrome for the web clipper since most notion users are on chrome, but safari is certainly on the to-do list!",Safari,1
this app can be the greatest thing,app,0
"it is so versatile that if we need a spreadsheet, or chart, or even just a shopping list for snacks, i can create that.","chart,",2
that is one area where this app fails.,app,0
this is most likely due to the size of the database.,database,1
"ah ok, look in the layers panel, if the text is locked, unlock it, then do so",text,1
do you mean invideo itself does not work on mobile?,mobile?,1
"prompt, customer friendly, quick customer service for complaints",customer service,2
i think it would be nice to have a plan that does not renew each moth.,renew,1
"pour les notes vous etes plutot @evernote , @msonenote ou @notionhq ?",les,1
ok - i tried that but the export seemed to get stuck at 99%,stuck,0
colums in mobiles and ios 2.,ios,0
"i can see it on screen, but the overlay with the spinning circle never goes away and i am not able to click on the page.","screen,",1
"i love notion on the mac, it seriously is the best.",Notion,2
"App is rly good, but after one of the updates, deleting the row with the swipe has disappeared and it's a shame 😭",updates,0
you have long product list but availability is very poor.,availability,0
one more question: do we have to pay a separate enterprise license for every workspace we use?,workspace,1
the packing ..,packing,2
"I have spent endless hours in so many apps trying to understand their features, workflows, settings, etc and making my life fit to them.",settings,1
"but i never started with a black screen, it comes up automaticaly before running into the first image",image,1
please share a screenshot of the left panel with text tab selected.,screen,1
milk delivery boy is telling we will not do door delivery milk you will have to keep bag near society security cabin.,delivery boy,0
prompt and timely delivery,timely delivery,2
even your customer care team confirmed that they will check the issue and still no response.,customer care,0
Not optimised for tablet...,optimised,0
"This app is not only really behind the desktop version, but bugs keep popping up, including regressions.",desktop,1
i love the desktop version but this wait time on mobile app is making me think should i uninstall it.,desktop version,2
There is no way to delete tasks in new update.,delete,0
"i want to create ""notion form"" of this pdf, but i can only create just checkboxes or normal text cells",checkboxes,1
"i also love that i can use this app for managing my small business from operations, to product development, marketing, and customer experience.",app,2
"but when you start to explore and engage more through the app, it gets really easy and truly a life saver.","app,",2
"notion is an amazing, both useful and beautiful tool and this app is enough for using it on phone for me.",Notion,2
Great app to help our projects stay on track.,projects,2
"nice app however i would like to request a zoom in feature for mobile users , to let us zoom into photos",app,0
what about images color,images,1
it is not just a note taking app!,note,2
"hi, the workspace was named amoshh's workspace.",workspace,1
packets of milk and butter are dirty,butter,0
"prompt delivery, professional delivery partners, products are of good quality with some exceptions which is redressed timely.","delivery,",2
remove sound from video clip?,remove sound,1
I can’t sign up or log in,sign,0
it would be nice to be able to do the equivalent of an sql where in a rollup.,Rollup.,2
request to generate a scim api token for workspace 0cb2369a-f535-43fd-9daf-eb.,API,1
introduction of delivery fees per pack of milk delivery paves way for customers to buy directly from shops or milk vendor delivery,milk delivery,0
"when i click on the button, i have to go through a survey.","button,",1
"better quality of fruits and vegetables, eggs.",quality of fruits,0
does this mean i will not be charged vat?,charged,0
multiple and large variety catelog of items,variety catelog of items,2
timely delivery easy to use app reasonable rates,app,2
"Airtable is amazing because of the 'views', but if you can't use Kanban's view in the iPad app, it's preferable to use the web version on safari to take advantage of it.",web version,1
i signed up today and cancelled my subscription and would like a refund.,cancelled,1
items rate and availability,Items rate,2
"The fifth star is when an offer is made for families;) 
The pricing structure is suitable for companies.",companies,1
get better service and deliver and do not charge 20 rs for deliveryb,deliver,0
I use the app as a digital ToDo list to organize collaboration in small teams.,teams,1
"every time i try to edit a page or create a link, the tools or keyboard flash up for half a second and close back down.",edit,0
"what originally happened was that i had a large amount of information and text in which i organised into different pages (topic 1: operations, topic 2:",organised,0
i love the way the tables work,tables,2
initially 30 rupees was charged extra on my milk subscription and this was subsequently returned as super credits.,milk subscription,0
and switching to a .com d.,switching,1
i wonder if my notion site is searchable when i search google or naver for 'yoke (a randomly specified notion site title) '.,searchable,1
smart delivery dy',Smart,2
"you can increase your stock as most of the time when we are in need of anything like milk even, it is out of stock so what is the meaning of order things till 11 pm",milk,0
"the drag the video to the canvas, when you do so, it will show you a trimmer",trim,1
would it be possible to give me access to the beta version of notion ?,Beta,1
"i am adjusting that volume and nothing is happening, i even tied downloading it",downloading,0
Enter the Italian language,language,1
Update: works properly after following techadvice.,Update,1
"promptness, ontime, price",Price,2
a lot of people are asking for more customizable color options on our timeline view.,timeline,0
condition of milk packets has not been consistently good.,milk packets,0
about some charges.,charges.,0
"ok, i will refund, but please cancel the plan once and let me know.",cancel,2
try to hv direct contact with the customer n not through aap,direct contact with the customer,0
quality of the veggies and fruits are hopeless.,fruits,0
delivery guy must leave the milk bag at the door and not at the building gate.,milk,0
awesome app please please can you make a widget that will allow to see to do lists or stuff for today week etc like microsft to do does would make this app perfection,widget,0
"consistently for 4 days, i did not recieve milk and i was notified in the morning that milk will not be delivered.",milk,0
Browser version great.,Browser version,2
why it takes forever to load the video for me to preview in editing,load,0
"but I would like to adjust it, resize, remove background etc.",background,1
"I will add another vote for @notionhq been using them for yt organization for awhile now, and just.",organization,1
today it asked me to login on my mobile.,mobile.,1
"overall good app with amazing service, i have not found any issues with my app.",app.,2
"i hope this will be fixed also, i hope you add a pomodoro timer into the app :)",pomodoro timer,0
"bread comes squeezed with broken pieces, butter comes fully melted because their is no proper ice box.",butter,0
"hello, i am working on a project that requires displaying a large amount of json data.",data.,1
i was not aware i was deleting the whole journal,journal,1
is it possible to get more discount for annually membership.,membership.,1
i would hate for its owner to lose some of their notes if it can be avoided.,notes,0
you told me from the timeline.,timeline,1
google docs and sheets have this.,sheets,0
i could crop some scenes but not preview it,scenes,1
"hi, i want to close down my support email address.",email,1
fantastic and very capable app,app,2
this is a screenshot of what it looks like,screen,0
"Still a wonderful app for managing work, but the latest update is rough.",update,0
love this app to pieces!,app,2
I am using Iphone 5S,Iphone,1
+ aesthetic database text + tiled header (more r.,header,1
does that only appear when a video has been exported?,exported,1
i really love the design and functionality of this app,app,2
"however, they have done a great job of adding preset templates that help you to get an idea of the app's potential.",app,2
i will send a screen shot.,screen,1
when suprdaily came to my society and put up promotional canopy it was promised that there would be no delivery charge ever.,Suprdaily,0
so the drafts can not be removed from my home page?,removed,1
app.this is the app which i was looking for.,app,2
while the task option makes sense (and i got it.,task,2
your sidebar section displays all parent pages within your workspace.,workspace,1
how can i embed an image from a link in a gallery template?,gallery,1
need more offers or coupons on milk subscriptions.,offers,0
Can’t remove team member from.,team,0
letting us know in advance if you be able to deliver milk or not.,milk,0
app stuck in the splash screen,app,0
the app is scrolling through the screen.,screen.,0
"if you continue to use words like bulls**t, piss off, etc, you will not get any more help from us",off,0
Nice for startup small company,company,1
i have a problem with the password,password,0
"hello, until now i have tried this in the windows desktop app and in the web app (chrome and edge).",Desktop,2
my files are not uploading.,uploading.,0
heard great things however there is no android widget for notion which is very disappointing as i rely on a quick view layout for fast notes.,Android Widget,0
"hello hrishikesh, how does white labeling with invideo video editing software work?",editing,1
"great app on desktop, dark mode and other functionalities are missing on mobile.",app,2
"slow app gets stopped by the system all the time, (maybe because it uses a lot of ram), and takes forever to start, sometimes never starts.",App,0
"I love Airtable, but I really wish the iPad app had feature parity with the web version, specifically with grouped views.",iPad,0
"Functional, easy to use and collaborate with others, good for work and home.",collaborate,2
would you mind sending us a screen recording when you tried to copy the contents and you can not copy it?,recording,1
"timely delivery, very good customer care","Timely delivery,",2
the name was class notes i think,notes,1
excellent productivity app!,app!,2
it is very inconvinient to work with web-links or email addresses stored in notion such as to copy from there to paste somewhere else.,Notion,0
"no its per scene, as the music plays in the first scene, and for scenes 2 and 3, the video plays, as the background music volume is set it 0 now",volume,0
i heard about this app on a podcast.,app,2
so I would like the back ground music for scene three also but there is no music for that scene,music,1
you can literally create an entire workflow and productivity powerhouse within this one app and delete all the rest.,workflow,2
no criteria for order.,order,2
"what i see is, my card has been charged 20$",charged,0
I have been using notion for two months now.,Notion,2
i need to change delivery instructions.. customer service no able to help me.,Customer service,0
"The app is great, I literally can recommend it to anyone.",recommend,2
"hi, i am trying to reset my password for another account and tried to send a reset email but",reset,0
add widgetss!,widgets,0
it is more than 3 months and still my green bag has not come.,green bag,0
please grant support access using the account you used to reach out.,support,1
ok is it the last number i see on the web link when i have the project open?,web,1
supr daily promised to give me bag for keeping milk in the morning on one month subscription.,bag,0
many items either not there in the list or some items in the list can not be ordered like amul butter 500 gms or kellogg's cornflakes,Kellogg's cornflakes,0
in this troubling times would like to have products delivered however service has been erratic,products delivered,0
you can cancel your plan from subscription plan page from your laptop and desktop.,cancel,1
it would be better if i can see the project dashboard (not only show percentage),project,1
Crashes while setting up and loading...,setting,0
"Mobile phone can never set traditional Chinese, please pay attention to the mobile phone group.",Mobile,0
"notion is great on pc, but the android app really does not feel that well designed.",Notion,2
"hello i have subscribe for lift time plane, but I am getting watermark on my project.",watermark,1
hmm.. concerning you should properly map premium plans to unlimited,premium,0
Lost data added in Mobile version.,Mobile,0
"what is going on.there are serious issues using this software in a incognito window or not.previews not loading, editing trim video function, and previewing videos with missing clips.when can we expect this to be addressed?",editing,0
the best note taking app!,app!,2
"sorry, but the display on my cellphone is getting really over-zoom",display,0
hi - as the facebook videos are 1:1 templates - does this put a black line next to the video (either side)?,Facebook,1
i just found this app accidentally and it is so easy to use to make any mind mapping by just using the bullet points and it will generate!,app,2
"Compared to Microsoft Access this thing is a toy,  too many pictures and not enough function.  ",many pictures,0
"In the COVID-19 environment with remote working, this app has increased my team’s productivity and has allowed me greater oversight and efficiency of our operations.",efficiency,2
"he is writing me about canceling my account, not beein able to take payment.","account,",0
"I spent 30 years as a dba, so I’m not going to expect this to have the raw power or a MariaDB or Oracle, but for a little shared, synchronized database, Airtable is a treat to use.

",database,1
There are so many bugs in the latest version.,bugs,0
"sometimes tightens, lately I can not update.",update,0
it acts like a app version of webpage whereas it must be a default app interface with no loading and only the user edited information changing,webpage,0
vegetables quality need to improve,Vegetables,0
missing offline mode,offline mode,0
"overall it is a good app, please add widget feature for android, widget make us easier to know our tasks in home screen without open the app",widget,0
is already listed at the link we sent?,listed,1
the video is not uploading to the video,upload,2
send the products that you have charged for.,products,0
cash on dilivery & price of items,dilivery,0
apke product ki price,product,0
being able to write up notes on my comput.,notes,2
"visa is 1509 and billing address is stargarder weg 10,  gottingen",Billing,1
"supr access then automatically supr access should be activated and help the customer for full month waiver on service fees, despite bringing it to the knowledge of you nothing happened, feel like discontinuing","service fees,",0
"please change the emojis in android, and please make the animation pf opening or closing pages smoother in android.","android,",0
not able to use notion for mobile now.,notion,0
"if you try the mobile app first you might not like notion, you should try the web app or desktop app to see the full power of notion, and keep the mobile to view and do simple edits to your projects.",desktop app,2
"however, it does not support a widget which makes quickly adding tasks/ information difficult.",widget,0
This app works great but could you please PLEASE add an audio alert?,audio,0
very useful note app ever seen.,app,2
"i think this will work, but can you just wait a few minutes as i download and check?",download,2
got a problem adding images from istock.,images,0
delivery on time.,Delivery,2
evernote clips stuff just fine.,Evernote,2
vistaplus+ workspace,Workspace,2
"it is not opening, it just shows its logo at centre and that is it.",centre,0
"products availability, delivery, delivery time, discounts, offers","delivery time,",0
can you tell me the best price you can offer me for the unlimited plan/year,offer,2
the best note taking app i have ever had.,note taking app,2
i did'nt want to renew this year as i have not really used it for the last year.,renew,0
"notion has it all, I have my tasks lists, sprint planning, shared lists, docs, general notes, all in one place.","shared lists,",2
best productivity tool !,tool,2
i switched to incognito and that worked for a while,incognito,1
I like the ease of setting up inventory and the ability to take pictures of each item.,inventory,1
"I think that airtable is a very wonderful tool, bringing together some.of the best features of different app like tremolo, slack, and excel.",excel,1
i wish to edit a video i already have in my gallery.,gallery.,1
love this app a request to the dev make something like a widget of the checklist todo so it will be easier to check them,widget,0
offline feature pleaseeee,offline,1
quality and time of delivery.,Quality,2
deliver the milk!!,milk,0
"how do you organize all your valuable links?
",organize,1
overall a good app.,app.,2
great app to organize your life and also keep a to do list.,app,2
"so i tried adding my son, he already has a free account here, the invite did not go to his email and it just went to a blurred screen for me forever",email,0
"by sending good quality product, though you people send good quality product only but sometimes we customer face such issue and kindly lower the delivery fees.","quality product,",0
hi is it possible to copy a page with it is permissions?,copy,1
best note taking app,note taking app,2
"timely and guaranteed deliveries payment gateway is very poor, failed transaction sometimes never get reverted.",deliveries,0
i understand that you want to be able to add the toggle + todo + number list all in one control unit.,list,1
Lowering to 3 stars because Rating field doesn't appear on Android app when trying to customize field types,field,0
do you have a image editing software,edit,1
"so i tried adding my son, he already has a free account here, the invite did not go to his email and it just went to a blurred screen for me forever",blurred,0
"order by 11, receive by 7.",Order,2
to add up the total cost of list of inventory?,inventory,1
We use it at the company.,company,1
why it is getting stuck every time some uploaded image is used,stuck,0
"quality of vegetables should improve,.",vegetables,0
I am absolutely entitled to everything listed above.,listed,2
i may have accidentally edited the page.,edited,0
"my column is date format (y-m-d) and if i try to search in the text field for ""2021/02"", after the / sign everything disappears.",text,1
and it does not even open the app offline.,app offline.,0
not showing all subscriptions for undelivered items,undelivered items,0
meeting your coworkers at the @notionhq office for the first time ever after you have been zooming for 1+ year is a g.,first time,1
the keyboard is buggy is split screen mode.,keyboard,0
"high service fee, high prices of products and vegetables are usually not good","service fee,",0
"videos* some can be over 15mins, does that change the editing speed requirements?",speed,1
"your workspaces stay consistent, c.",workspaces,2
or else you can go for business yearly plan with 40% discount that will be $90 ($7.5 month),business,1
"now, we have a zoomable scene timeline, so if you press ctrl and scroll down on your keyboard, the scenes below will compress to give you the whole video's view, and then you can move the timeline marker to play from a specific spot",scene,1
"could i perhaps prove to you i am a university student, then use my personal email to get the free benefits that university students can get in notion?",free,2
"hi, i just uploaded a video i made to youtube and there was a copyright claim on the music from your music library.",music,0
you can use our timeline database.,database,1
All of your tasks at your hand.,tasks,1
notion worked for a time and now just stops at the loading screen.,Notion,0
The app don't show the sub tasks of a project which is an issue leading to delay in folow up also don't have a reminder feather early,sub tasks,0
"For a couple of months after the update, the date has been You can't use.",update,1
so the price will be $108 for business yearly plan,price,0
"yes, this is the only thing i wanted widgets to do when i saw this announcement.",widgets,1
"super versatile project managment, research and data base tool!",tool!,2
i try to stick to the notes app in my phone for urgent stuff.,phone,2
"hopefully, the developers can focus on catering student's welfare too.",student's welfare,0
I will tell you what i do not like payments made on your app takes a long time to reflect and renew subcription.,renew subcription.,0
fruit quality can be improved.,Fruit,0
"sorry i do not wish to discuss the matter, can you cancel the subscription please",cancel,1
"this is a great app, and is continually getting better.","app,",2
Best task manager.,task,2
i really want to stop the billing on my subscription how do i do that?,subscription,0
best app ever now,app,2
"delivery inconsistent, and no action on 2 complaints on no delivery",Delivery,0
this is not nearly enough and leaves a lot of whys: why the only supported row height is one line?,row height,0
I fell in love with Airtable and quickly felt inspired to get all my team on it for project management.,project management,1
are the items in trash sorted chronically?,Trash,1
ease the service provides,service,2
how to remove uploded video audio,audio,1
try to sale curd and chakka also,chakka,0
", bc this account needs a pricing-model.",pricing,1
but can not remove water mark,remove,1
"however, a major issue for me is the swipe right from thr left edge to access the drawer.",left edge,0
App is forcing me to update my iOS.,update,0
delivery related..extra charges for milk packet delivery..,milk,0
how do i cut a scene in half?,scene,1
asked to allow support access what caused you to escalate the ticket?,support,2
"on free plan you cannot use paid templates, remove background option, premium and istock media will be with watermark",remove,1
super access is illogically priced despite most of the items sold on mrp and reasonable profit already generated by seller.,Super Access,0
so there is images with editable text,images,1
#NAME?,email,1
"haptics, sound design and responsive gesture animation are like a drug for me.","Haptics,",0
"we are in the process of collecting notes from users about our new export as pdf, and I will make sure your message gets included for our product team to take to heart.",PDF,1
"As much the site deserves the 5 stars as much the application sorely lacks flexibility.
",flexibility,0
the video is not uploading to the video,uploading,0
the objective of exporting a filter or view is to be able to select some clients and export them to csv in order to send them out to mass email or send them to a caller to make appointments.,csv,2
"however, it is probably never going to stop being horrendously slow to launch and use.",launch,0
by giving proper reply & service,service,0
but it comes up as trial 1 member,trial,1
"you can easily import all of your notebooks, but the flexibility of notio.",flexibility,0
This is a wonderful app for keeping track of all my stamps and supplies!,keeping track,2
Doesn’t work unless you share with it your personal email and allow the app to share all your private info from it with the developers.,email,1
in pc notion is great.,Notion,2
I tested the system out for a company project as we aren’t 100% happy with current system,project,0
"Hello, if I create a task and attach a pdf to it from the PC won't let me open it with the app 
",pdf,1
copy/paste a whole list of to-dos from @todoist or.,LIST,1
takes forever to open on my phone,Takes,2
so my colleague used one of your templates to make a youtube intro and outro video.,YouTube,1
no invideo branding or watermark 1080p resolution custom font uploads make videos in any language,font,2
@notionhq for a digital collaboration app you are surprisingly behind the times with your remote hiring policy.,collaboration,0
this piece about @notionhq's approach to design and how they came back from the brink makes for a great read,design,2
"however, you cannot add new blocks afterward, but you can delete existing content blocks to free up your storage.",free,0
"After 5 years of using a variety of task management apps, asana has proven to be the best out there in the market and for our property management company, allowed us to work smoothly and efficiently through the pandemic.",company,1
Cluttered ux; free plan doesnt't have proper daily tasks (starting at...,free,0
best app in it is category.,app,2
i started notion not long ago and i am a student and have a university student account.,student,1
most times not resolved (for eg nachos and biscuits packets were open or milkshake was missing),milkshake,0
Customer service does not get back to you.,Customer service,0
"Works as it should, dont like the lack of options on mobile as opposed to in browser",mobile,0
great app for organizing notes.,app,2
extremely prompt &quick resolution in addressing greviance.,&Quick resolution in addressing greviance.,2
good.return procedure is fast.quality of products is too good.prices r okay.loved it really,fast.quality of products,2
it is just such a shame that the developers pay no attention to the ios app,iOS app,0
I use all the categories and features on the free version.,free,1
can i ask for an invoice since the first time i subscribed until now?,first time,1
how can i pay my subscription?,subscription?,1
improve the quality of your supplies specially fruits and vegetables.,fruits,0
It needs better performance improvement.,performance,1
but i uninstall because a bit laggy sidebar menu and no material design=(,material design=(,0
"hi, I am using a 24"" screen.",screen.,1
"best app for daily tasks, notes and scheduling.",notes,2
parity pricing will increase access to no.,pricing,0
"I have about 3 years using this app as my schedule and task control, it's perfect from the basic version.",task,1
"$$
your math
$$",math,2
I'm using the free version for being a small group and compared to others it's more intuitive and easier to fill out.,free,1
we would love to be able to calculate total time at the bottom of this column,column,1
"however, your android app does not live up to the expectations at all.",app,0
it simply stays on the first screen - white with the logo on it.,logo,0
takes alot time to open on my phone,Takes,2
eg your delivery guy tries to substitute amul cow with mother dairy cow.,tries to,0
i love the way this app organise everything.,app,2
"my device is unfortunately limited to android 6, however.","android 6,",2
"would you mind providing me your university or college's educational email address and your school's website, please?",school,2
"there needs to be a ""main"" calendar or database that can display all of our assigned",There,0
How to change language from Germany to English?,language,1
reliability and zero delivery charges,delivery,2
"hi, the function ""search on google""",Google,1
Too many updates!,updates,0
I used this most of the time to record my travel expenses.,record,1
I’ve always HATED MS EXCEL.,EXCEL,0
the best note taking app.,app.,2
"It is an excellent application, visually of the best, and in performance as well.",performance,2
You’d think for how outrageously expensive AirTable is ($200-250/year per *user,expensive,0
it is an amazing app.,app.,2
"Poor SSO integration, never stays signed in",integration,0
"we are using a shared database, yep.",shared,1
avoid delays improve app add more offers,Avoid,2
prompt delivery despite orders open till 11pm.,delivery,2
"when we cancelled our delivery, we do not receive our amount.","delivery,",0
how long does it take to refund the money?,refund,1
improve the quality of your supplies.,quality,0
prompt delivery and best customer service,delivery,2
i tried to remove the password from the settings.,password,0
"hi jon, i was wondering if notion ever runs any promotions or know if anyone is for your team pricing.",pricing.,1
regularity and timely delivery of products,products,2
I am starting from scratch and it will not give me a preview whether i use my videos or yours,preview,0
how do i test the upload speed,load,0
you people deliver expired milk and paneer.. planning to file a case..,paneer..,0
this app has the best feature of other apps plus some that i have not see around like embedding links.,links.,2
quality of fruits and vegetables and variety of products,vegetables,0
since you are on free plan the video will be exported with istock watermark,watermark,1
Unable to download it,download,0
the vegetables which you guys deliver sometimes not fresh..,vegetables,0
"for that, I have created a ""projects-timeline"" (attached image) workspace in which we layout all the project's key steps/tasks by ""stages"" and the people that are involved in each step.",layout,1
"notion has not been functioning as of recent, it does not respond at all.",Notion,0
love notion but the android app is completely unusable.,android app,0
